Snake DQN Training Log - 20251014_214114
==================================================
Grid Size: 15x20
Total Episodes: 3000
Final Average Score: 1.18
Best Score: 14
Final Epsilon: 0.0200

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
719	1	0.96	0.0200	9.99
720	0	0.95	0.0200	-1.70
721	1	0.94	0.0200	8.94
722	0	0.92	0.0200	2.26
723	1	0.90	0.0200	8.73
724	1	0.90	0.0200	7.61
725	2	0.92	0.0200	23.73
726	0	0.90	0.0200	1.94
727	1	0.89	0.0200	2.14
728	1	0.87	0.0200	14.66
729	1	0.88	0.0200	6.02
730	0	0.87	0.0200	1.20
731	2	0.87	0.0200	15.00
732	0	0.87	0.0200	11.27
733	0	0.86	0.0200	2.70
734	0	0.86	0.0200	8.10
735	0	0.82	0.0200	3.65
736	2	0.81	0.0200	13.34
737	0	0.77	0.0200	3.66
738	1	0.77	0.0200	2.92
739	2	0.79	0.0200	8.90
740	0	0.78	0.0200	-0.86
741	1	0.79	0.0200	8.62
742	1	0.77	0.0200	6.95
743	0	0.77	0.0200	5.68
744	0	0.74	0.0200	-1.41
745	2	0.74	0.0200	10.99
746	2	0.74	0.0200	15.08
747	0	0.72	0.0200	7.38
748	1	0.72	0.0200	6.28
749	1	0.72	0.0200	4.61
750	3	0.74	0.0200	6.71
751	1	0.73	0.0200	3.12
752	0	0.71	0.0200	4.74
753	0	0.71	0.0200	0.40
754	0	0.70	0.0200	4.38
755	0	0.69	0.0200	2.97
756	0	0.69	0.0200	0.60
757	1	0.70	0.0200	5.45
758	0	0.66	0.0200	7.19
759	1	0.67	0.0200	3.33
760	0	0.67	0.0200	4.56
761	1	0.68	0.0200	2.25
762	1	0.69	0.0200	0.75
763	2	0.71	0.0200	5.81
764	0	0.71	0.0200	1.24
765	1	0.70	0.0200	1.65
766	1	0.69	0.0200	1.45
767	0	0.68	0.0200	-0.50
768	0	0.68	0.0200	-0.15
769	0	0.68	0.0200	2.30
770	0	0.67	0.0200	3.36
771	0	0.66	0.0200	-0.69
772	1	0.67	0.0200	8.15
773	0	0.66	0.0200	-1.12
774	1	0.66	0.0200	2.93
775	0	0.66	0.0200	0.99
